2,19,0,0,0,0
-702.6251,21.85414,red,35
553.4375,4.208358,yellow,35
-287.1458,379.5833,30,30,0
-303.1875,225.5834,30,30,0
-256.6667,92.4375,30,30,0
-381.7917,74.79164,30,30,0
-335.2708,-77.60418,30,30,0
-38.5,214.3541,30,30,0
-57.75,-151.3958,30,30,0
227.7917,369.9583,30,30,0
239.0208,-170.6458,30,30,0
-214.9583,100.4584,30,30,0
-162.0208,137.3541,30,30,0
16.04167,236.8125,30,30,0
77,273.7083,30,30,0
136.3542,307.3958,30,30,0
-304.7917,-109.6875,30,30,0
-205.3333,-125.7292,30,30,0
-91.43751,-151.3958,30,30,0
11.22917,-161.0208,30,30,0
147.5833,-175.4583,30,30,0
