17,128,159,40,19,0
-1055.078,103.1354,red,35
5233.463,343.3438,red,55
6029.005,196.625,red,55
5940.974,571.5729,red,55
5699.703,-109.8542,red,55
5204.12,-41.38544,red,55
5601.891,490.0625,red,55
6645.224,-135.9375,red,55
5856.203,913.9166,red,55
6527.849,776.9791,red,55
5425.828,803.0625,red,55
6565.344,-1032.083,blue,40
5998.031,-1723.292,blue,40
5411.156,-569.1042,white,40
5645.906,-2557.958,white,40
6708.802,-1971.083,white,40
6281.828,-3039.688,yellow,30
1874.922,1137.042,30,30,0
2027.317,1137.042,30,30,0
1964.974,1137.042,30,30,0
2186.64,1095.479,30,30,0
2519.141,1046.99,30,30,0
2325.182,1033.135,30,30,0
2761.588,929.2292,30,30,0
2941.692,936.1563,30,30,0
3191.068,950.0105,30,30,0
3301.901,936.1563,30,30,0
3454.297,908.448,30,30,0
3530.494,908.448,30,30,0
3689.817,936.1563,30,30,0
3842.213,887.6667,30,30,0
3932.265,880.7395,30,30,0
4091.588,873.8125,30,30,0
4424.088,832.25,30,30,0
4313.255,818.3958,30,30,0
4015.391,846.1042,30,30,0
3468.151,943.0833,30,30,0
3121.796,984.6458,30,30,0
2997.109,950.0105,30,30,0
2879.349,956.9375,30,30,0
2713.099,977.7188,30,30,0
2491.432,984.6458,30,30,0
2484.505,1053.917,30,30,0
2387.526,1053.917,30,30,0
2325.182,1053.917,30,30,0
1840.286,1081.625,30,30,0
1791.797,1074.698,30,30,0
1743.307,1095.479,30,30,0
1639.401,1116.26,30,30,0
1618.62,1116.26,30,30,0
3211.849,922.302,30,30,0
3440.443,936.1563,30,30,0
3578.984,908.448,30,30,0
4188.567,769.9063,30,30,0
4631.9,825.323,30,30,0
4888.203,804.5417,30,30,0
4721.953,797.6145,30,30,0
4742.734,908.448,30,30,0
4749.661,922.302,30,30,0
4749.661,1026.208,30,30,0
4749.661,1137.042,30,30,0
4749.661,1220.167,30,30,0
4742.734,1386.417,30,30,0
4749.661,1504.177,30,30,0
4756.588,1531.885,30,30,0
4756.588,1573.448,30,30,0
4784.297,1642.719,30,30,0
4798.15,1815.896,30,30,0
4791.224,1885.167,30,30,0
4777.37,1975.219,30,30,0
4770.442,2231.521,30,30,0
4770.442,2286.938,30,30,0
4756.588,2487.823,30,30,0
4624.974,832.25,30,30,0
4160.859,832.25,30,30,0
4001.536,825.323,30,30,0
4514.14,825.323,30,30,0
2616.12,991.573,30,30,0
2068.88,1081.625,30,30,0
6257.234,940,30,30,0
6253.974,861.75,30,30,0
6253.974,773.7188,30,30,0
6289.838,496.5834,30,30,0
6270.276,630.2604,30,30,0
6267.016,659.6041,30,30,0
6263.755,555.2709,30,30,0
6273.536,379.2084,30,30,0
6273.536,379.2084,30,30,0
6286.578,271.6146,30,30,0
6280.058,196.625,30,30,0
6280.058,147.7188,30,30,0
6280.058,118.375,30,30,0
6296.359,7.520883,30,30,0
6296.359,-15.30206,30,30,0
6319.182,-70.72919,30,30,0
6351.786,-5.520808,30,30,0
6368.088,10.78125,30,30,0
6387.651,46.64588,30,30,0
6400.692,72.72912,30,30,0
6423.516,131.4166,30,30,0
6436.557,164.0209,30,30,0
6283.318,-106.5938,30,30,0
6253.974,-73.98956,30,30,0
6237.672,-67.46875,30,30,0
6169.203,-15.30206,30,30,0
6162.682,-12.04169,30,30,0
6146.38,4.260367,30,30,0
6123.557,20.5625,30,30,0
6087.693,53.16662,30,30,0
6205.068,-47.90625,30,30,0
6289.838,49.90625,30,30,0
6283.318,428.1146,30,30,0
6289.838,310.7396,30,30,0
6260.495,718.2916,30,30,0
6257.234,812.8438,30,30,0
